rate,title,url,cover,id,is_new,cover_x,cover_y,playable,episodes_info
9.0,我不是药神,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,26752088,False,2810,3937,True,
9.7,肖申克的救赎,https://movie.douban.com/subject/1292052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1292052,False,2000,2963,True,
9.2,疯狂动物城,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,25662329,False,1080,1663,True,
9.4,千与千寻,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,1291561,False,1080,1560,True,
8.4,哪吒之魔童降世,https://movie.douban.com/subject/26794435/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,26794435,False,5594,8268,True,
9.4,泰坦尼克号,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,1292722,False,2015,3000,True,
9.4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,1295644,False,658,980,False,
9.0,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,26387939,False,1414,2048,True,
9.5,阿甘正传,https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,1292720,False,1872,2546,True,
9.1,寻梦环游记,https://movie.douban.com/subject/20495023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,20495023,False,1080,1512,True,
9.6,霸王别姬,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,1291546,False,600,889,True,
8.2,少年的你,https://movie.douban.com/subject/30166972/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,30166972,False,5906,8268,True,
9.1,怦然心动,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,3319755,False,986,1466,True,
8.9,绿皮书,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,27060077,False,2000,3167,True,
9.3,盗梦空间,https://movie.douban.com/subject/3541415/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,3541415,False,4500,6563,True,
